Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
166,6053115.0,2.B.2.Fm,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.2,2.B.2,D143,2.B.2.Fm,2.B.2.Fm Southern African Montane Grassland,MA166,2.B.2.Fm.1,2.B.2.Fm.1-Drakensberg Grassland,Drakensberg Grassland,1,1.0,1.0,0.745098,1.0
167,14175568.0,2.B.2.Fm,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.2,2.B.2,D143,2.B.2.Fm,2.B.2.Fm Southern African Montane Grassland,MA167,2.B.2.Fm.2,2.B.2.Fm.2-Dry Highveld Grassland,Dry Highveld Grassland,1,0.862745,1.0,0.858824,1.0
168,12411538.0,2.B.2.Fm,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.2,2.B.2,D143,2.B.2.Fm,2.B.2.Fm Southern African Montane Grassland,MA168,2.B.2.Fm.3,2.B.2.Fm.3-Moist Highveld Grassland,Moist Highveld Grassland,1,1.0,1.0,0.878431,1.0
169,9001415.0,2.B.2.Fm,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.2,2.B.2,D143,2.B.2.Fm,2.B.2.Fm Southern African Montane Grassland,MA169,2.B.2.Fm.4,2.B.2.Fm.4-Sub-Escarpment Grassland,Sub-escarpment Grassland,1,1.0,0.933333,0.729412,1.0
171,470738.0,3.A.2.Fd,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D178,3.A.2.Fd,3.A.2.Fd Madagascar Xeric Scrub & Grassland,MA171,3.A.2.Fd.1,3.A.2.Fd.1-Madagascar Southwestern Coastal Bushland,Madagascar Southwestern Coastal Bushland,1,0.831373,0.470588,0.368627,1.0
172,5437323.0,3.A.2.Fd,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D178,3.A.2.Fd,3.A.2.Fd Madagascar Xeric Scrub & Grassland,MA172,3.A.2.Fd.2,3.A.2.Fd.2-Madagascar Southwestern Dry Forest-Thicket,Madagascar Southwestern Dry Forest-Thicket,1,0.764706,0.364706,0.372549,1.0
176,61936225.0,3.A.2.Fe,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D179,3.A.2.Fe,3.A.2.Fe Eastern African Xeric Scrub,MA176,3.A.2.Fe.1,3.A.2.Fe.1-Eastern African Bushland & Thicket,Eastern African Bushland & Thicket,1,0.803922,0.666667,0.4,1.0
177,67859918.0,3.A.2.Fe,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D179,3.A.2.Fe,3.A.2.Fe Eastern African Xeric Scrub,MA177,3.A.2.Fe.2,3.A.2.Fe.2-Eastern African Semi-Desert Scrub,Eastern African Semi-Desert Scrub,1,0.803922,0.803922,0.4,1.0
178,44380877.0,3.A.2.Fe,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D179,3.A.2.Fe,3.A.2.Fe Eastern African Xeric Scrub,MA178,3.A.2.Fe.3,3.A.2.Fe.3-Eastern African Acacia Woodland,Eastern African Acacia Woodland,1,0.843137,0.690196,0.619608,1.0
179,44613895.0,3.A.2.Fe,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D179,3.A.2.Fe,3.A.2.Fe Eastern African Xeric Scrub,MA179,3.A.2.Fe.4,3.A.2.Fe.4-Eastern African Acacia - Commiphora Woodland,Eastern African Acacia - Commiphora Woodland,1,0.537255,0.537255,0.266667,1.0
181,197358473.0,3.A.2.Ff,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D180,3.A.2.Pf,3.A.2.Pf North Sahel Semi-Desert Scrub & Grassland,MA181,3.A.2.Pf.1,3.A.2.Pf.1-North Sahel Herbaceous Steppe,North Sahel Herbaceous Steppe,1,0.960784,0.960784,0.439216,1.0
182,136351260.0,3.A.2.Ff,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D180,3.A.2.Pf,3.A.2.Pf North Sahel Semi-Desert Scrub & Grassland,MA182,3.A.2.Pf.2,3.A.2.Pf.2-North Sahel Shrubland Steppe & Grassland,North Sahel Shrubland Steppe & Grassland,1,0.901961,0.901961,0.0,1.0
